MR_ID,smiles,SRC
446,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)c1nc(Cc2ccc(C(F)(F)F)cc2)no1,4.03621217265444
8963,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@H](CO)c1nc(Cc2ccc(Cl)c(Cl)c2)no1,4.1249387366083
4115465,CC(=O)N[C@@H](Cc1ccc(OP(=O)([O-])[O-])c(C=O)c1)C(=O)N[C@H]1CCCCN(Cc2ccc(-c3ccccc3)cc2)C1=O,9.60205999132796
4105,CC(=O)N[C@@H](Cc1ccc(OP(=O)([O-])[O-])cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](CC(N)=O)CC1CCCCC1,5.744727494896691
476,CC(=O)N[C@@H](Cc1ccc(OP(=O)([O-])[O-])cc1)C(=O)N[C@@H]1CCCCc2cc(OCC3CCCCC3)c(C(N)=O)cc21,5.09151498112135
474,CC(=O)N[C@@H](Cc1ccc(OP(=O)([O-])[O-])cc1)C(=O)N[C@@H]1CCCOc2cc(OCC3CCCCC3)c(C(N)=O)cc21,5.79588001734408
4115463,CC(=O)N[C@@H](Cc1ccc(OP(=O)([O-])[O-])cc1)C(=O)N[C@H]1CCCCN(Cc2ccc(-c3ccccc3)cc2)C1=O,8.04575749056067
475,CC(=O)N[C@@H](Cc1ccc(OP(=O)([O-])[O-])cc1)C(=O)N[C@H]1CCCCc2cc(OCC3CCCCC3)c(C(N)=O)cc21,7.0
473,CC(=O)N[C@@H](Cc1ccc(OP(=O)([O-])[O-])cc1)C(=O)N[C@H]1CCCOc2cc(OCC3CCCCC3)c(C(N)=O)cc21,6.69897000433602
4115472,CC(=O)N[C@@H](Cc1ccc(P(=O)(O)O)c(P(=O)(O)O)c1)C(=O)N[C@H]1CCCCN(Cc2ccc(-c3ccccc3)cc2)C1=O,5.69897000433602
4115467,CC(=O)N[C@@H](Cc1ccc(C(F)(F)P(=O)([O-])[O-])cc1)C(=O)N[C@H]1CCCCN(Cc2ccc(-c3ccccc3)cc2)C1=O,8.39794000867204
