MR_ID,smiles,AURKA
4336573,CCCS(=O)(=O)NCCCc1ccc(C(=O)Nc2ncc(Nc3ncnc4cc(OCCCN5CCOCC5)c(OC)cc34)cn2)cc1,5.4089353929735005
4302651,CCN(C(C)=O)c1nc(C)c(-c2ccnc(N)n2)s1,6.79588001734408
10000021,CCN(C(=O)Cc1cnc(Nc2ncnc3cc(OCCCN4CCOCC4)c(OC)cc23)s1)c1ccccc1,7.259637310505759
4302566,CCN(C)c1nc(C)c(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)s1,7.52287874528034
4338388,CCN(CC)C(=O)Nc1c[nH]nc1-c1nc2cc3c(cc2[nH]1)C(C)(C)C(=O)N3CC,9.0
4335523,CCN(CC)C(=O)c1cccc2[nH]c(-c3n[nH]c4ncc(-c5cncc6ccccc56)cc34)nc12,6.0
4360556,CCN(CC)CC(O)COc1ccc(Nc2ncc3cnn(C4CCCCC4)c3n2)cc1,5.8013429130455805
4361770,CCN(CC)CCNC(=O)c1ccc(Nc2ncc(Br)s2)cc1,5.34486156518862
4360561,CCN(CC)CCNC(=O)c1ccc(Nc2ncc3cnn(C4CCCCC4)c3n2)cc1,5.800244822746531
4342341,CCN(CC)CCNS(=O)(=O)c1ccc(Nc2nccc(-c3c(C)[nH]c(C#N)c3C)n2)cc1,6.10457745396059
4346690,CCN(CC)CCOc1cc(Nc2nccc(C(=O)NC3CC4CCC3(C)C4(C)C)n2)ccc1OC,7.95860731484177
4310968,CCN(CC)CCc1ccc(Nc2nccc(-c3c[nH]c4ncccc34)n2)c(C)c1,6.012333735073731
4310948,CCN(CC)CCc1ccc(Nc2nccc(-c3c[nH]c4ncccc34)n2)cc1,6.612610173661269
4352781,CCN(CC)Cc1cccc(-c2ccnc(Nc3cccc([N+](=O)[O-])c3)n2)c1,6.2441251443275085
4335510,CCN(CC)Cc1cccc2[nH]c(-c3n[nH]c4ncc(Br)cc34)nc12,6.0109508435617816
4335554,CCN(CC)Cc1cccc2[nH]c(-c3n[nH]c4ncc(-c5cccnc5)cc34)nc12,5.44069198909299
4335509,CCN(CC)Cc1cccc2[nH]c(-c3n[nH]c4ncc(-c5cncc6ccccc56)cc34)nc12,6.0
4302561,CCN(CC)S(=O)(=O)c1ccc(Nc2nccc(-c3sc(NC)nc3C)n2)cc1,7.0
4335552,CCN(CC)c1ccc(NC(=O)c2cccc3[nH]c(-c4n[nH]c5ncc(-c6cncc7ccccc67)cc45)nc23)c(C)c1,6.774949303861951
4303503,CCN(CC)c1ccc2c(c1)Oc1ncnc(Cc3cnc(NC(=O)c4ccccc4)nc3)c1NC2,5.30102999566398
4345887,CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1,8.85387196432176
4352808,CCN(Cc1cccc(-c2ccnc(Nc3cccc([N+](=O)[O-])c3)n2)c1)C(C)C,7.52287874528034
4338390,CCN1C(=O)C(C)(C)c2cc3[nH]c(-c4n[nH]c(C)c4NCc4ccccc4)nc3cc21,7.49485002168009
4336516,CCN1C(=O)C(C)(C)c2cc3[nH]c(-c4n[nH]c5c4CN(C(=O)c4ccc(F)cc4)CC5)nc3cc21,7.259637310505759
4336515,CCN1C(=O)C(C)(C)c2cc3[nH]c(-c4n[nH]c5c4CN(S(=O)(=O)c4ccc(F)cc4)CC5)nc3cc21,7.85387196432176
4336514,CCN1C(=O)C(C)(C)c2cc3[nH]c(-c4n[nH]c5c4COCC5)nc3cc21,7.79588001734408
4338383,CCN1C(=O)C(C)(C)c2cc3[nH]c(-c4n[nH]cc4NC(=O)C(F)(F)F)nc3cc21,7.53760200210104
4338384,CCN1C(=O)C(C)(C)c2cc3[nH]c(-c4n[nH]cc4NC(=O)C4CC4)nc3cc21,8.0
4338385,CCN1C(=O)C(C)(C)c2cc3[nH]c(-c4n[nH]cc4NC(=O)CC(C)C)nc3cc21,8.69897000433602
4338387,CCN1C(=O)C(C)(C)c2cc3[nH]c(-c4n[nH]cc4NC(=O)OCc4ccccc4)nc3cc21,7.7212463990471685
4338386,CCN1C(=O)C(C)(C)c2cc3[nH]c(-c4n[nH]cc4NC(=O)c4cnccn4)nc3cc21,8.52287874528034
4338391,CCN1C(=O)C(C)(C)c2cc3nc(-c4n[nH]cc4NS(C)(=O)=O)[nH]c3cc21,7.619788758288388
4346692,CCN1CCN(c2ccc(Nc3nccc(C(=O)NC4CC5CCC4(C)C5(C)C)n3)cc2)CC1,7.769551078621732
4347759,CCN1CCN(CCCOc2ccc3[nH]c(-c4cccc5c4C(=O)NC5)cc3c2)CC1,7.3565473235138095
4361800,CCN1CCN(Cc2ccc(Nc3ncc(C#N)s3)nc2)CC1,5.3565473235138095
4335514,CCN1CCN(Cc2cccc3[nH]c(-c4n[nH]c5ncc(-c6cncc7ccccc67)cc45)nc23)CC1,5.17108243838331
4349363,CCNC(=O)N=S(C)(=O)c1ccc2cc1NCCCCNc1nc(ncc1Br)N2,7.67778070526608
4310950,CCNCCc1ccc(Nc2nccc(-c3c[nH]c4ncccc34)n2)cc1,6.8041003475907695
4335544,CCNCc1cncc(-c2cnc3[nH]nc(-c4nc5c(COC)cccc5[nH]4)c3c2)c1,5.35027581407048
4347443,CCNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(F)ccc5[nH]4)c3c2)c1,6.096910013008058
4335494,CCNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(OC)ccc5[nH]4)c3c2)c1,6.4458799019339414
4335481,CCNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(N6CCN(C)CC6)ccc5[nH]4)c3c2)c1,6.5505277665667485
4335469,CCNCc1cncc(-c2cnc3[nH]nc(-c4nc5ccc(F)cc5[nH]4)c3c2)c1,6.095176300199058
4335561,CCNCc1cncc(-c2cnc3[nH]nc(-c4nc5c(COC)cccc5[nH]4)c3c2)c1C,5.09579855768788
4302546,CCNS(=O)(=O)c1ccc(Nc2nccc(-c3sc(C)nc3C)n2)cc1,6.49485002168009
4342338,CCNS(=O)(=O)c1cccc(Nc2nccc(-c3c(C)[nH]c(C#N)c3C)n2)c1,6.3840499483436
4302520,CCNS(=O)(=O)c1cccc(Nc2nccc(-c3sc(N)nc3C)n2)c1,7.69897000433602
4302551,CCNS(=O)(=O)c1cccc(Nc2nccc(-c3sc(NC)nc3C)n2)c1,7.2218487496163615
4302650,CCNc1nc(C)c(-c2ccnc(N)n2)s1,6.0
4302549,CCNc1nc(C)c(-c2ccnc(Nc3cc(OC)c(OC)c(OC)c3)n2)s1,8.69897000433602
4302638,CCNc1nc(C)c(-c2ccnc(Nc3cc(OC)cc(OC)c3)n2)s1,6.096910013008058
4302494,CCNc1nc(C)c(-c2ccnc(Nc3ccc(C)c(S(=O)(=O)N4CCOCC4)c3)n2)s1,7.92081875395237
4302542,CCNc1nc(C)c(-c2ccnc(Nc3ccc(CNC(C)=O)cc3)n2)s1,7.79588001734408
