MR_ID,smiles,ABL1
4342681,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc(CCO)cc2)n1,6.107905397309519
4342826,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc(CO)cc2)n1,6.207608310501749
4342844,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc(C(C)(C)O)cc2)n1,5.79588001734408
4342729,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc3c(c2)CCNC3=O)n1,6.82390874094432
4342737,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc3c(c2)CCNC(=O)C3)n1,6.69897000433602
4342964,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc3c(c2)C(=O)CC3)n1,6.95860731484177
4342966,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc3c(c2)C(N)CC3)n1,6.619788758288388
4342965,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc3c(c2)C(O)CC3)n1,6.619788758288388
4342725,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc3c(c2)CN(C(=N)N)CC3)n1,6.6382721639824105
4342723,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc3c(c2)CN(S(C)(=O)=O)CC3)n1,6.65757731917779
4342869,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc3c(c2)N(S(C)(=O)=O)CC3)n1,6.7212463990471685
4342724,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc3c(c2)C(N)=NCC3)n1,6.5686362358410095
4342720,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc3c(c2)C(=O)NCC3)n1,5.55284196865778
4342738,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc3c(c2)CCNCC3)n1,6.6382721639824105
4342721,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc3c(c2)CNCC3)n1,6.53760200210104
4342715,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc3c(c2)NCC3)n1,6.3187587626244115
4342735,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc3c(c2)CCN(S(C)(=O)=O)C3)n1,6.5686362358410095
4342745,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc3c(c2)CC(C(N)=O)NC3)n1,6.95860731484177
4342730,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc3c(c2)CCNC3)n1,7.0
4342743,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc3c(c2)C[C@@H](C(=O)O)NC3)n1,7.2218487496163615
4342740,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc3c(c2)CN[C@H](C(N)=O)C3)n1,6.6382721639824105
4342739,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc3c(c2)CN[C@H](C(=O)O)C3)n1,5.744727494896691
4342712,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc3c(c2)CCN3S(C)(=O)=O)n1,6.602059991327961
4342726,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc3c(c2)CCC(=O)N3)n1,6.55284196865778
4342711,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc3c(c2)CCN3)n1,6.16749108729376
4342915,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc3[nH]c(=O)ccc3c2)n1,6.585026652029178
4342716,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc3[nH]ccc3c2)n1,6.769551078621732
4342874,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc3c(=O)[nH]cnc3c2)n1,6.267606240177032
4342875,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc3nc[nH]c(=O)c3c2)n1,6.0409586076789115
4342693,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc3ncccc3c2)n1,6.85387196432176
4342815,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2cccc(C#N)c2)n1,6.744727494896691
4342945,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2cccc(CC(N)=O)c2)n1,6.17392519729917
4342858,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2cccc(CC(=O)NCCO)c2)n1,5.85387196432176
4342857,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2cccc(CC(=O)NC[C@H](O)CO)c2)n1,6.14266750356873
4342848,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2cccc(CC(=O)O)c2)n1,5.6259059864969005
4342682,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2cccc(CCC(=O)O)c2)n1,5.602059991327961
4342660,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2cccc(CCN)c2)n1,6.455931955649719
4342846,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2cccc(CCO)c2)n1,6.08092190762393
4342662,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2cccc(CN)c2)n1,5.82390874094432
4342782,C=C1NS(=O)(=O)N(Cc2cccc(-n3nc(C(C)(C)C)cc3NC(=O)Nc3cccc(Cl)c3Cl)c2)C1=O,6.602059991327961
4342854,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2cccc(CN3C(=O)NC(=O)C3=O)c2)n1,5.49485002168009
